Frame_Time_Budget_s,Frame_Energy_Budget_j
9.312333011173028,3.969184394478843
9.309278200888913,3.967965473454935
9.306635360480652,3.966911401381154
9.303943362051244,3.9658380336646624
9.301205067694118,3.9647470320835874
9.298837092068622,3.963804054322116
9.296446316903822,3.962852891608899
9.294146518919003,3.961938954104688
9.291838791689765,3.9610232591349286
9.289858860065193,3.9602386854037213
9.287880303414898,3.9594562482010964
9.285894950406657,3.958672827813103
9.28422147558061,3.9580145041571475
9.282563833951777,3.9573644598647224
9.280991888525765,3.9567499404728945
9.279452494347087,3.9561510269739686
9.278181247430037,3.9556595316608263
9.276941623972277,3.9551831987148405
9.275755021970593,3.9547315896794477
9.274788764995858,3.9543675937833758
9.2738805254038,3.9540301114563396
9.273079578097613,3.9537380151866888
9.272359888006749,3.953482726262125
9.271815316631555,3.953296466033194
9.271352720101751,3.9531472342728806
9.271000366867874,3.9530450305092684
9.270740546739145,3.9529848014800524
9.27063316593898,3.952984472108783
9.27060633666304,3.953020960805493
9.270699105220388,3.953111555827605
9.270898101744047,3.9532425842536463
9.271207473913483,3.9534234469729497
9.27162927072775,3.9536530556880756
9.272204133239898,3.953951424750963
9.272818468843408,3.954261994333056
9.273574398167318,3.9546362794642604
9.274444350345828,3.955060443974371
9.275484065278151,3.9555611509765978
9.276523308588429,3.956057090256103
9.277721862817534,3.9566249786375125
9.279099667812606,3.9572743092830236
9.280458981718912,3.9579110495524925
9.281970121666646,3.958617054638156
9.283594591242045,3.9593735338487788
9.285429880255753,3.960225578287486
9.287179746959833,3.9610362127912326
9.289117738049626,3.96193247266341
9.291292259662075,3.9629363175530172
9.29333596749799,3.963879002131173
9.29558464460967,3.9649151414659487
9.297947712340408,3.966003146573452
9.30054960162324,3.9672004897985
9.302982652144772,3.968319853917071
9.305638057236823,3.969541190712699
9.30854483262693,3.9708784646803412
9.311265907225861,3.9721299081758423
9.314198913458105,3.973479680663324
9.31740842287055,3.974957190061835
9.320386421174302,3.9763285427322126
9.323598638728702,3.9778086016322214
9.32710704932096,3.9794259278727235
9.330336343075903,3.9809158910794564
9.333816782927352,3.9825227213437975
9.337606254034176,3.9842734726752016
9.34107996037305,3.985880216470642
9.344816432155655,3.987609801888025
9.348866686584778,3.989486544286986
9.352577873904705,3.9912082181133464
9.356557625266419,3.993056312705578
9.36084643394888,3.99505077138273
9.364785436589528,3.9968843547602577
9.36898175308022,3.998840761503911
9.373500968440826,4.000950654769896
9.377632262618627,4.002882089826001
9.38229100219862,4.00506325340263
9.386545694541857,4.007058483081191
9.391081549534071,4.00918863759088
9.395961615160674,4.011483950062146
9.400390763065635,4.013571249544923
9.405382246301391,4.015927002896192
9.409920186350787,4.018073056477282
9.414750152771491,4.020360835585133
9.419924110509472,4.022816227837495
9.424614972420622,4.025046936613428
9.429874383398552,4.027552896311878
9.434657447621946,4.0298364426590965
9.440006196383987,4.0323957722073205
9.444874776909172,4.034729762874322
9.450017497009618,4.037201116920738
9.455502802462869,4.039843289314847
9.46046500364553,4.042238996436096
9.466010516152206,4.044922555920117
9.471027999158354,4.0473568863222
9.476636428294398,4.050084235866989
9.481701589309186,4.052554368861893
9.487361653593826,4.055321150616266
9.49246539050929,4.057823606583295
9.4981661584121,4.060625596266573
9.50330205587051,4.063158031840652
9.509031716340349,4.065990616657437
9.514190930869487,4.068549636952666
9.51993730424298,4.071408028625106
9.525111820315201,4.07399057686761
9.530863236852982,4.07687018765676
9.536045118708936,4.079473225819937
9.541789918850222,4.082369454418834
9.546969958424588,4.084989383545986
9.552696153288153,4.087897466598964
9.558147814672653,4.090676384061341
9.563280423617424,4.09330209498459
9.568971428080099,4.096225377508987
9.57408172150021,4.098860994843949
9.57973816860637,4.101790232998168
9.58480405721853,4.104425573131897
9.590413139284216,4.107355472334525
9.595720042507327,4.110141319833485
9.600692151203662,4.112763896999768
9.606205658705125,4.115684659266136
9.611124985191626,4.11830509016863
9.616562506116997,4.121214987889564
9.621688826736042,4.123974527956634
9.626482542753017,4.1265692844403725
9.631782621771505,4.129452918241025
9.636774270560815,4.132186326721989
9.641430089088658,4.134751320932051
9.646567961167204,4.137598493909367
9.651137657238472,4.140148096413664
9.656155619920147,4.142966269061109
9.66086294962773,4.145629859314816
9.665257595550996,4.14813346197982
9.670073288359,4.150898340847923
9.67458522128245,4.15351002418298
9.67879492218404,4.155964488646689
9.68338599047299,4.158666647283818
9.687681159334142,4.161217159896399
9.691899707868982,4.163745424880573
9.695814377118353,4.166112685668309
9.700086157852152,4.168722533313697
9.704067910263158,4.171181864203337
9.707746399418893,4.173478169742018
9.711755005025664,4.176008571108059
9.715473900285899,4.178386331403715
9.719099798977068,4.180734180067506
9.722435190406909,4.182922352481337
9.726062259103102,4.185333026651954
9.729409493212964,4.187593460361254
9.732473635917769,4.189695247770363
9.735795674502626,4.192007705313478
9.738841130467682,4.194168596329901
9.741781780807012,4.196294314214175
9.744459217241731,4.198268253968016
9.74734638203043,4.200436571047684
9.749972573613999,4.20245773068736
9.752487440306838,4.20444044333679
9.754758625816596,4.206277285520241
9.757185439567543,4.208289282455669
9.759368320245503,4.210158929898896
9.761436376084125,4.211897024771286
9.763282960423123,4.212872115014918
9.765229194289349,4.213728301821576
9.766951200713958,4.2144714632388505
9.768554518959876,4.215163303492449
9.77003940157437,4.215804035367466
9.771332012525358,4.2163618012419315
9.772652106882248,4.216931426286396
9.773778771316286,4.217417585683777
9.77478231894297,4.217850619775088
9.775623998954229,4.218213807459617
9.776428835181564,4.218561096930584
9.777066599856417,4.218836294478865
9.77758092123072,4.21905822583822
9.777963994324292,4.219223523134105
9.778244570249239,4.219344592565668
9.77838855043279,4.219406720486953
9.778408884544668,4.219415494722905
9.778304894773004,4.219370622795482
9.778098371087395,4.219281507148008
9.777733511290036,4.219124068949165
9.777259384318224,4.218919481606288
9.77666207520692,4.218661740766335
9.775985629675011,4.2183698523014215
9.775107582114973,4.217990971900367
9.77414256367158,4.217574563277987
9.773056346045111,4.217105856810728
9.771849597875738,4.2165851410190145
9.77059760656094,4.216044902661709
9.769086043711862,4.215392658336289
9.767519582848253,4.2147167253376026
9.765835886007403,4.213990204630348
9.764133859700243,4.213255774698281
9.762129555007865,4.212401683831439
9.76009689824655,4.212156959630047
9.757950485490957,4.212107665026158
9.755814952822112,4.212096025784863
9.753333330633737,4.212134335992459
9.75085235750081,4.212044016962346
9.748261621858465,4.212003180056019
9.745711402885735,4.211925806777437
9.742772994753926,4.211800862301297
9.739862970839877,4.211634765181785
9.736849639308646,4.211426605577437
9.733908331482029,4.211191349188951
9.730536008634147,4.210890530655672
9.727221123421042,4.210560198852723
9.723810786759985,4.210190268266556
9.720504639303066,4.209805483999951
9.716725024003987,4.209337346488929
9.713031857829238,4.208851835043018
9.709468754774035,4.20836155815206
9.705402499356111,4.207774389980839
9.701448783074454,4.207179622562881
9.697412679729554,4.20654998328141
9.693538887938683,4.205928695900628
9.689121010791814,4.205193396434163
9.684841784525828,4.204462365405066
9.680742867727865,4.203745840420752
9.67609301048865,4.2029116785989284
9.671595711363723,4.202087050566119
9.667291591332207,4.201282394762019
